sample	query	model	description	bitscore	evalue
GCF_000007465.2	SMU_1226c	PF09659.10	CRISPR-associated protein (Cas_Csm6)	87.6	2.4e-27
GCF_000007465.2	SMU_1402c	PF09711.10	CRISPR-associated protein (Cas_Csn2)	236.6	5e-73
GCF_000007465.2	SMU_1403c	PF09827.9	CRISPR associated protein Cas2	65.0	1.8e-20
GCF_000007465.2	SMU_1404c	PF01867.16	CRISPR associated protein Cas1	83.6	4.4e-26
GCF_000007465.2	SMU_1405c	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	720.7	3.9e-219
GCF_000007465.2	SMU_1755c	PF01867.16	CRISPR associated protein Cas1	68.2	2.2e-21
GCF_000007465.2	SMU_1471c	PF13280.6	WYL domain	114.2	2.2e-35
GCF_000007465.2	SMU_1753c	PF09827.9	CRISPR associated protein Cas2	86.7	2.9e-27
GCF_000007465.2	SMU_1683c	PF13280.6	WYL domain	94.4	2.7e-29
GCF_000007465.2	SMU_1754c	PF01867.16	CRISPR associated protein Cas1	120.1	3.3e-37
GCF_000007465.2	SMU_1761c	PF09709.10	CRISPR-associated protein (Cas_Csd1)	205.2	6.4e-63
GCF_000007465.2	SMU_1760c	PF05107.12	CRISPR-associated protein Cas7	263.4	6.8e-81
GCF_000007465.2	SMU_1758c	PF01930.17	Domain of unknown function DUF83	94.8	2e-29
GCF_000007465.2	SMU_1757c	PF01867.16	CRISPR associated protein Cas1	60.3	5.4e-19
GCF_000007585.1	PG_RS08740	PF01867.16	CRISPR associated protein Cas1	188.8	3.8e-58
GCF_000007585.1	PG_RS08745	PF03787.15	RAMP superfamily	65.0	3.3e-20
GCF_000007585.1	PG_RS08760	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	287.8	5.3e-88
GCF_000007585.1	PG_RS08875	PF09827.9	CRISPR associated protein Cas2	74.8	1.6e-23
GCF_000007585.1	PG_RS08880	PF01867.16	CRISPR associated protein Cas1	294.3	2.6e-90
GCF_000007585.1	PG_RS08885	PF01930.17	Domain of unknown function DUF83	178.6	3.3e-55
GCF_000007585.1	PG_RS10715	PF09827.9	CRISPR associated protein Cas2	59.9	7e-19
GCF_000007625.1	CTC_RS07595	PF01930.17	Domain of unknown function DUF83	170.6	9.3e-53
GCF_000007625.1	CTC_RS07590	PF01867.16	CRISPR associated protein Cas1	294.7	2e-90
GCF_000007625.1	CTC_RS07585	PF09827.9	CRISPR associated protein Cas2	70.3	4e-22
GCF_000007625.1	CTC_RS05845	PF09827.9	CRISPR associated protein Cas2	75.3	1e-23
GCF_000007625.1	CTC_RS05835	PF01930.17	Domain of unknown function DUF83	181.2	5.2e-56
GCF_000007625.1	CTC_RS05820	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	71.3	2.2e-22
GCF_000007625.1	CTC_RS05815	PF09657.10	CRISPR-associated protein Csx8 (Cas_Csx8)	724.8	2e-220
GCF_000007625.1	CTC_RS05810	PF01881.16	CRISPR associated protein Cas6	98.2	2.1e-30
GCF_000007625.1	CTC_RS03510	PF13280.6	WYL domain	85.6	1.3e-26
GCF_000007625.1	CTC_RS07610	PF05107.12	CRISPR-associated protein Cas7	159.4	3.9e-49
GCF_000007625.1	CTC_RS05840	PF01867.16	CRISPR associated protein Cas1	291.0	2.6e-89
GCF_000007665.1	LXX_RS04090	PF13280.6	WYL domain	108.0	1.8e-33
GCF_000007665.1	LXX_RS04085	PF13280.6	WYL domain	86.9	5.4e-27
GCF_000007705.1	CV_RS05995	PF05107.12	CRISPR-associated protein Cas7	366.3	2.7e-112
GCF_000007705.1	CV_RS06000	PF01930.17	Domain of unknown function DUF83	119.9	3.8e-37
GCF_000007705.1	CV_RS08585	PF09614.10	CRISPR-associated protein (Cas_Csy2)	370.3	2.4e-113
GCF_000007705.1	CV_RS08580	PF09615.10	CRISPR-associated protein (Cas_Csy3)	505.2	2.9e-154
GCF_000007705.1	CV_RS08575	PF09618.10	CRISPR-associated protein (Cas_Csy4)	200.7	7.3e-62
GCF_000007705.1	CV_RS06010	PF09827.9	CRISPR associated protein Cas2	78.0	1.6e-24
GCF_000007705.1	CV_RS06005	PF01867.16	CRISPR associated protein Cas1	367.1	1.7e-112
GCF_000007705.1	CV_RS08590	PF09611.10	CRISPR-associated protein (Cas_Csy1)	504.6	5.8e-154
GCF_000007705.1	CV_RS05985	PF09704.10	CRISPR-associated protein (Cas_Cas5)	157.6	1.4e-48
GCF_000007705.1	CV_RS05990	PF09709.10	CRISPR-associated protein (Cas_Csd1)	562.3	4.1e-171
GCF_000007745.1	MS_RS04540	PF01867.16	CRISPR associated protein Cas1	337.9	1.3e-103
GCF_000007745.1	MS_RS07545	PF18211.1	Csm1 subunit domain B	72.6	6.2e-23
GCF_000007745.1	MS_RS07540	PF03750.13	Csm2 Type III-A	81.2	3.2e-25
GCF_000007745.1	MS_RS07535	PF03787.15	RAMP superfamily	60.1	9.9e-19
GCF_000007745.1	MS_RS07500	PF09652.10	Putative CRISPR-associated protein (Cas_VVA1548)	114.8	5.4e-36
GCF_000007745.1	MS_RS04575	PF09704.10	CRISPR-associated protein (Cas_Cas5)	152.7	4.4e-47
GCF_000007745.1	MS_RS04570	PF09709.10	CRISPR-associated protein (Cas_Csd1)	595.0	5.2e-181
GCF_000007745.1	MS_RS04565	PF05107.12	CRISPR-associated protein Cas7	372.1	4.7e-114
GCF_000007745.1	MS_RS04560	PF01930.17	Domain of unknown function DUF83	132.0	7.1e-41
GCF_000007745.1	MS_RS04535	PF09827.9	CRISPR associated protein Cas2	89.2	5.1e-28
GCF_000007745.1	MS_RS07490	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	249.8	6.8e-77
GCF_000007745.1	MS_RS07480	PF01867.16	CRISPR associated protein Cas1	250.7	5.2e-77
GCF_000007985.2	GSU1388	PF09704.10	CRISPR-associated protein (Cas_Cas5)	138.3	1.1e-42
GCF_000007985.2	GSU1385	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	258.6	4.4e-79
GCF_000007985.2	GSU0473	PF13280.6	WYL domain	143.5	2.1e-44
GCF_000007985.2	GSU0057	PF01930.17	Domain of unknown function DUF83	79.7	8.5e-25
GCF_000007985.2	GSU1387	PF09344.10	CT1975-like protein	333.9	5.3e-102
GCF_000007985.2	GSU0054	PF09609.10	CRISPR-associated protein, GSU0054 family (Cas_GSU0054)	1110.1	0.0
GCF_000007985.2	GSU0057	PF01867.16	CRISPR associated protein Cas1	314.3	2e-96
GCF_000007985.2	GSU0049	PF13280.6	WYL domain	128.2	1.1e-39
GCF_000007985.2	GSU1393	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	123.3	1.1e-38
GCF_000007985.2	GSU0053	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	139.4	3.6e-43
GCF_000007985.2	GSU1389	PF08798.11	CRISPR associated protein	166.9	2.6e-51
GCF_000008185.1	TDE0330	PF09711.10	CRISPR-associated protein (Cas_Csn2)	194.6	3.7e-60
GCF_000008185.1	TDE0891	PF13280.6	WYL domain	92.9	7.5e-29
GCF_000008185.1	TDE0329	PF09827.9	CRISPR associated protein Cas2	59.9	6.7e-19
GCF_000008185.1	TDE0328	PF01867.16	CRISPR associated protein Cas1	84.6	2.2e-26
GCF_000008185.1	TDE0660	PF13280.6	WYL domain	112.5	7.3e-35
GCF_000008185.1	TDE0327	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	288.0	3.1e-88
GCF_000008185.1	TDE0327	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	454.8	1.4e-138
GCF_000008245.1	MS53_RS03065	PF01867.16	CRISPR associated protein Cas1	88.5	1.4e-27
GCF_000008325.1	MCA_RS00610	PF13280.6	WYL domain	116.4	4.8e-36
GCF_000008325.1	MCA_RS03235	PF05107.12	CRISPR-associated protein Cas7	374.1	1.1e-114
GCF_000008325.1	MCA_RS03240	PF09709.10	CRISPR-associated protein (Cas_Csd1)	573.5	1.7e-174
GCF_000008325.1	MCA_RS03245	PF09704.10	CRISPR-associated protein (Cas_Cas5)	145.7	5.8e-45
GCF_000008325.1	MCA_RS04565	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	81.2	1.5e-25
GCF_000008325.1	MCA_RS04575	PF08798.11	CRISPR associated protein	105.1	2e-32
GCF_000008325.1	MCA_RS03225	PF01867.16	CRISPR associated protein Cas1	330.3	2.9e-101
GCF_000008325.1	MCA_RS03230	PF01930.17	Domain of unknown function DUF83	109.9	4.4e-34
GCF_000008325.1	MCA_RS04580	PF09704.10	CRISPR-associated protein (Cas_Cas5)	167.6	1.2e-51
GCF_000008325.1	MCA_RS03220	PF09827.9	CRISPR associated protein Cas2	86.4	3.7e-27
GCF_000008325.1	MCA_RS04585	PF09344.10	CT1975-like protein	332.1	1.8e-101
GCF_000008345.1	PPA_RS10935	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	108.8	3.7e-34
GCF_000008345.1	PPA_RS06985	PF13280.6	WYL domain	80.9	3.7e-25
GCF_000008345.1	PPA_RS06980	PF13280.6	WYL domain	60.2	8.3e-19
GCF_000008365.1	MMOB_RS00185	PF01867.16	CRISPR associated protein Cas1	115.0	1.2e-35
GCF_000008425.1	BLI_RS06410	PF13280.6	WYL domain	89.6	8.2e-28
GCF_000008425.1	BLI_RS05915	PF13280.6	WYL domain	120.5	2.6e-37
GCF_000008425.1	BLI_RS10890	PF13280.6	WYL domain	127.2	2.3e-39
GCF_000008425.1	BLI_RS03250	PF13280.6	WYL domain	91.4	2.2e-28
GCF_000008465.1	IL_RS00245	PF13280.6	WYL domain	120.6	2.4e-37
GCF_000008505.1	BT9727_0998	PF13280.6	WYL domain	132.7	4.6e-41
GCF_000008505.1	BT9727_0827	PF13280.6	WYL domain	102.0	1.3e-31
GCF_000008505.1	BT9727_0560	PF13280.6	WYL domain	90.7	3.5e-28
GCF_000008565.1	DR_0055	PF13280.6	WYL domain	115.5	8.7e-36
GCF_000008625.1	aq_173	PF01881.16	CRISPR associated protein Cas6	90.9	3.8e-28
GCF_000008625.1	aq_369	PF01867.16	CRISPR associated protein Cas1	268.6	1.8e-82
GCF_000008625.1	aq_370	PF01930.17	Domain of unknown function DUF83	192.5	1.7e-59
GCF_000008625.1	aq_385	PF03787.15	RAMP superfamily	132.1	9.6e-41
GCF_000008625.1	aq_377	PF09620.10	CRISPR-associated protein (Cas_csx3)	111.9	3.3e-35
GCF_000008625.1	aq_373	PF09704.10	CRISPR-associated protein (Cas_Cas5)	99.7	7.1e-31
GCF_000008625.1	aq_374	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	125.5	6.6e-39
GCF_000008625.1	aq_384	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	104.2	1.8e-32
GCF_000008625.1	aq_378	PF09455.10	CRISPR-associated (Cas) DxTHG family	142.3	9.4e-44
GCF_000008625.1	aq_381	PF03787.15	RAMP superfamily	116.1	7.5e-36
GCF_000008625.1	aq_383	PF01881.16	CRISPR associated protein Cas6	111.0	2.4e-34
GCF_000008625.1	aq_386	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	71.5	2.8e-22
GCF_000008625.1	aq_372	PF09706.10	CRISPR-associated protein (Cas_CXXC_CXXC)	103.9	1.3e-32
GCF_000008765.1	CA_C3494	PF13280.6	WYL domain	119.0	7.4e-37
GCF_000009145.1	ALW85_RS04425	PF09827.9	CRISPR associated protein Cas2	81.4	1.3e-25
GCF_000009145.1	ALW85_RS00660	PF18211.1	Csm1 subunit domain B	68.6	1e-21
GCF_000009145.1	ALW85_RS00655	PF03750.13	Csm2 Type III-A	69.5	1.4e-21
GCF_000009145.1	ALW85_RS00605	PF01867.16	CRISPR associated protein Cas1	255.9	1.3e-78
GCF_000009145.1	ALW85_RS00615	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	184.5	6.9e-57
GCF_000009145.1	ALW85_RS00620	PF09455.10	CRISPR-associated (Cas) DxTHG family	131.0	2.7e-40
GCF_000009145.1	ALW85_RS00625	PF09652.10	Putative CRISPR-associated protein (Cas_VVA1548)	128.8	2.2e-40
GCF_000009405.1	SCA_RS11650	PF13280.6	WYL domain	75.5	1.7e-23
GCF_000009545.1	SUB_RS05260	PF09659.10	CRISPR-associated protein (Cas_Csm6)	93.7	3.3e-29
GCF_000009625.1	MAFF_RS15815	PF13280.6	WYL domain	67.6	4.7e-21
GCF_000009765.2	SAVERM_RS38700	PF09704.10	CRISPR-associated protein (Cas_Cas5)	165.1	6.8e-51
GCF_000009765.2	SAVERM_RS38705	PF09344.10	CT1975-like protein	374.9	1.8e-114
GCF_000009765.2	SAVERM_RS38710	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	112.3	8.4e-35
GCF_000009765.2	SAVERM_RS38715	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	287.1	9.5e-88
GCF_000009765.2	SAVERM_RS34365	PF13280.6	WYL domain	107.8	2.1e-33
GCF_000009765.2	SAVERM_RS34360	PF13280.6	WYL domain	110.6	2.8e-34
GCF_000009765.2	SAVERM_RS38685	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	106.0	2.7e-33
GCF_000009765.2	SAVERM_RS31020	PF13280.6	WYL domain	143.0	3.1e-44
GCF_000009765.2	SAVERM_RS19050	PF13280.6	WYL domain	98.9	1.1e-30
GCF_000009765.2	SAVERM_RS40635	PF13280.6	WYL domain	113.0	5e-35
GCF_000009765.2	SAVERM_RS38695	PF08798.11	CRISPR associated protein	167.3	1.8e-51
GCF_000009765.2	SAVERM_RS04980	PF13280.6	WYL domain	107.4	2.6e-33
GCF_000009765.2	SAVERM_RS14370	PF13280.6	WYL domain	106.6	4.9e-33
GCF_000009805.1	NFA_RS15805	PF13280.6	WYL domain	105.8	8.4e-33
GCF_000009805.1	NFA_RS16105	PF13280.6	WYL domain	98.5	1.4e-30
GCF_000009805.1	NFA_RS21955	PF09704.10	CRISPR-associated protein (Cas_Cas5)	174.8	7.3e-54
GCF_000009805.1	NFA_RS21960	PF09344.10	CT1975-like protein	427.3	2.1e-130
GCF_000009805.1	NFA_RS21965	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	109.8	5.2e-34
GCF_000009805.1	NFA_RS21970	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	404.8	1.9e-123
GCF_000009805.1	NFA_RS21975	PF18395.1	Cas3 C-terminal domain	99.4	5.3e-31
GCF_000009805.1	NFA_RS25465	PF13280.6	WYL domain	88.3	2.1e-27
GCF_000009805.1	NFA_RS30650	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	103.7	1.3e-32
GCF_000009805.1	NFA_RS13710	PF13280.6	WYL domain	87.7	3.1e-27
GCF_000009805.1	NFA_RS15800	PF13280.6	WYL domain	113.7	3.3e-35
GCF_000009805.1	NFA_RS21950	PF08798.11	CRISPR associated protein	225.2	3.7e-69
GCF_000009805.1	NFA_RS13140	PF13280.6	WYL domain	102.2	1.1e-31
GCF_000009805.1	NFA_RS15125	PF13280.6	WYL domain	93.9	3.9e-29
GCF_000009805.1	NFA_RS09735	PF13280.6	WYL domain	138.1	1e-42
GCF_000009825.1	ABC_RS18590	PF01930.17	Domain of unknown function DUF83	116.6	3.8e-36
GCF_000009825.1	ABC_RS18585	PF01867.16	CRISPR associated protein Cas1	339.1	5.6e-104
GCF_000009825.1	ABC_RS18580	PF09827.9	CRISPR associated protein Cas2	87.9	1.3e-27
GCF_000009825.1	ABC_RS17545	PF13280.6	WYL domain	121.4	1.3e-37
GCF_000009825.1	ABC_RS16355	PF13280.6	WYL domain	109.0	8.7e-34
GCF_000009825.1	ABC_RS18595	PF05107.12	CRISPR-associated protein Cas7	273.9	4.2e-84
GCF_000009825.1	ABC_RS18600	PF09709.10	CRISPR-associated protein (Cas_Csd1)	490.0	3.3e-149
GCF_000009825.1	ABC_RS18605	PF09704.10	CRISPR-associated protein (Cas_Cas5)	156.0	4.2e-48
GCF_000009905.1	STH_RS01640	PF09704.10	CRISPR-associated protein (Cas_Cas5)	107.3	3.3e-33
GCF_000009905.1	STH_RS01645	PF09709.10	CRISPR-associated protein (Cas_Csd1)	368.4	2.3e-112
GCF_000009905.1	STH_RS17390	PF13280.6	WYL domain	149.9	2.4e-46
GCF_000009905.1	STH_RS03440	PF08798.11	CRISPR associated protein	192.0	5.3e-59
GCF_000009905.1	STH_RS03435	PF09704.10	CRISPR-associated protein (Cas_Cas5)	190.5	1.2e-58
GCF_000009905.1	STH_RS03430	PF09344.10	CT1975-like protein	376.4	6.1e-115
GCF_000009905.1	STH_RS16870	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	115.4	9.4e-36
GCF_000009905.1	STH_RS03420	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	307.2	8e-94
GCF_000009905.1	STH_RS01650	PF05107.12	CRISPR-associated protein Cas7	302.7	7.1e-93
GCF_000009905.1	STH_RS03415	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	109.3	2.5e-34
GCF_000009985.1	AMB_RS10455	PF13280.6	WYL domain	109.9	4.6e-34
GCF_000009985.1	AMB_RS08225	PF13280.6	WYL domain	115.5	9.1e-36
GCF_000010045.1	DSY_RS14805	PF09827.9	CRISPR associated protein Cas2	82.2	7.7e-26
GCF_000010045.1	DSY_RS04090	PF13280.6	WYL domain	88.1	2.3e-27
GCF_000010045.1	DSY_RS14815	PF01930.17	Domain of unknown function DUF83	192.3	2e-59
GCF_000010045.1	DSY_RS14810	PF01867.16	CRISPR associated protein Cas1	315.8	7.5e-97
GCF_000010045.1	DSY_RS14855	PF05107.12	CRISPR-associated protein Cas7	186.7	1.9e-57
GCF_000010045.1	DSY_RS14875	PF01881.16	CRISPR associated protein Cas6	136.3	3.7e-42
GCF_000010045.1	DSY_RS15010	PF05107.12	CRISPR-associated protein Cas7	189.4	2.8e-58
GCF_000010065.1	SYC_RS09685	PF13280.6	WYL domain	60.5	7e-19
GCF_000010105.1	RER_RS17805	PF13280.6	WYL domain	115.0	1.3e-35
GCF_000010105.1	RER_RS09025	PF13280.6	WYL domain	135.2	7.7e-42
GCF_000010105.1	RER_RS20145	PF13280.6	WYL domain	85.2	1.8e-26
GCF_000010105.1	RER_RS29250	PF13280.6	WYL domain	87.1	4.6e-27
GCF_000010105.1	RER_RS23870	PF13280.6	WYL domain	112.9	5.4e-35
GCF_000010105.1	RER_RS18490	PF13280.6	WYL domain	61.7	3e-19
GCF_000010105.1	RER_RS17810	PF13280.6	WYL domain	100.4	3.9e-31
GCF_000010165.1	BBR47_RS29430	PF13280.6	WYL domain	112.4	7.8e-35
GCF_000010165.1	BBR47_RS14420	PF13280.6	WYL domain	105.0	1.5e-32
GCF_000010165.1	BBR47_RS01985	PF13280.6	WYL domain	103.5	4.3e-32
GCF_000010165.1	BBR47_RS03325	PF13280.6	WYL domain	128.6	8.1e-40
GCF_000010165.1	BBR47_RS19675	PF13280.6	WYL domain	99.8	5.8e-31
GCF_000010165.1	BBR47_RS23325	PF13280.6	WYL domain	123.7	2.6e-38
GCF_000010165.1	BBR47_RS05165	PF13280.6	WYL domain	118.8	8.4e-37
GCF_000010165.1	BBR47_RS13330	PF13280.6	WYL domain	118.3	1.2e-36
GCF_000010185.1	FMG_RS00295	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	443.0	5.5e-135
GCF_000010185.1	FMG_RS00295	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	177.5	1.6e-54
GCF_000010185.1	FMG_RS00300	PF01867.16	CRISPR associated protein Cas1	92.2	1e-28
GCF_000010185.1	FMG_RS00310	PF09711.10	CRISPR-associated protein (Cas_Csn2)	67.2	4.9e-21
GCF_000010185.1	FMG_RS00305	PF09827.9	CRISPR associated protein Cas2	69.1	9.2e-22
GCF_000010185.1	FMG_RS08820	PF08798.11	CRISPR associated protein	150.3	3e-46
GCF_000010185.1	FMG_RS08825	PF09704.10	CRISPR-associated protein (Cas_Cas5)	116.5	5e-36
GCF_000010185.1	FMG_RS08830	PF09344.10	CT1975-like protein	362.3	1.2e-110
GCF_000010185.1	FMG_RS08835	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	179.2	5.1e-55
GCF_000010265.1	CKR_RS15800	PF13280.6	WYL domain	137.9	1.1e-42
GCF_000010265.1	CKR_RS13015	PF05107.12	CRISPR-associated protein Cas7	152.6	4.6e-47
GCF_000010265.1	CKR_RS13000	PF01930.17	Domain of unknown function DUF83	162.8	2.4e-50
GCF_000010265.1	CKR_RS12990	PF09827.9	CRISPR associated protein Cas2	67.7	2.6e-21
GCF_000010265.1	CKR_RS01760	PF13280.6	WYL domain	113.7	3.1e-35
GCF_000010265.1	CKR_RS12995	PF01867.16	CRISPR associated protein Cas1	272.0	1.6e-83
GCF_000010285.1	KRH_RS06770	PF13280.6	WYL domain	158.4	6e-49
GCF_000010405.1	COSY_RS02840	PF09559.10	Cas6 Crispr	179.0	3.2e-55
GCF_000010425.1	BAD_RS06255	PF05107.12	CRISPR-associated protein Cas7	248.1	3.3e-76
GCF_000010425.1	BAD_RS09040	PF09709.10	CRISPR-associated protein (Cas_Csd1)	194.7	9.5e-60
GCF_000010425.1	BAD_RS06265	PF09704.10	CRISPR-associated protein (Cas_Cas5)	162.6	4e-50
GCF_000010425.1	BAD_RS06245	PF01867.16	CRISPR associated protein Cas1	330.3	2.9e-101
GCF_000010425.1	BAD_RS09045	PF09709.10	CRISPR-associated protein (Cas_Csd1)	125.2	1.1e-38
GCF_000010425.1	BAD_RS06240	PF09827.9	CRISPR associated protein Cas2	78.1	1.4e-24
GCF_000010425.1	BAD_RS06250	PF01930.17	Domain of unknown function DUF83	110.4	3.1e-34
GCF_000010545.1	BMULJ_RS02790	PF13280.6	WYL domain	67.8	3.9e-21
GCF_000010605.1	SGR_RS17565	PF09704.10	CRISPR-associated protein (Cas_Cas5)	163.3	2.4e-50
GCF_000010605.1	SGR_RS28665	PF13280.6	WYL domain	117.5	2.2e-36
GCF_000010605.1	SGR_RS29270	PF13280.6	WYL domain	112.2	9.1e-35
GCF_000010605.1	SGR_RS29275	PF13280.6	WYL domain	104.9	1.6e-32
GCF_000010605.1	SGR_RS30795	PF13280.6	WYL domain	94.2	3.1e-29
GCF_000010605.1	SGR_RS34215	PF13280.6	WYL domain	101.6	1.6e-31
GCF_000010605.1	SGR_RS34750	PF13280.6	WYL domain	94.1	3.3e-29
GCF_000010605.1	SGR_RS17580	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	105.7	3.3e-33
GCF_000010605.1	SGR_RS17570	PF08798.11	CRISPR associated protein	224.0	8.7e-69
GCF_000010605.1	SGR_RS17555	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	105.3	1.3e-32
GCF_000010605.1	SGR_RS21245	PF13280.6	WYL domain	83.4	6.4e-26
