id	species
GCF_002285935.1	Aeromonas dhakensis
GCF_000016245.1	Vibrio cholerae
GCF_008926085.1	Escherichia coli
GCF_009648635.1	Listeria monocytogenes
GCF_008370085.1	Pseudomonas aeruginosa
GCF_900636425.1	Streptococcus pyogenes
GCF_002953075.1	Escherichia coli
GCF_001941445.1	Corynebacterium aquilae
GCF_900620255.1	Staphylococcus aureus
GCF_000182855.2	Lactobacillus amylovorus
GCF_003966755.1	Candidatus Rickettsiella viridis
GCF_002025185.1	Riemerella anatipestifer
GCF_002251055.2	Bacillus cytotoxicus
GCF_004635545.1	Bordetella pertussis
GCF_000062885.1	Saccharopolyspora erythraea
GCF_000006645.1	Yersinia pestis
GCF_000691585.1	Brucella canis
GCF_009730315.1	Gemella morbillorum
GCF_003052765.1	Shewanella baltica
GCF_003956465.1	Escherichia coli
GCF_003285085.1	Bacillus velezensis
GCF_000494775.2	Campylobacter coli
GCF_002945945.1	Clostridioides difficile
GCF_003045545.1	Listeria monocytogenes
GCF_000008125.1	Thermus thermophilus
GCF_002214005.1	Listeria monocytogenes
GCF_900638205.1	Campylobacter jejuni
GCF_001021975.1	Chryseobacterium gallinarum
GCF_001014285.1	Streptococcus pyogenes
GCF_002448055.1	Mycobacterium tuberculosis
GCF_000974685.2	Ferriphaselus amnicola
GCF_900637755.1	Providencia rustigianii
GCF_000006845.1	Neisseria gonorrhoeae
GCF_001643775.1	Denitrobacterium detoxificans
GCF_000443005.1	Mycobacterium tuberculosis
GCF_002215195.1	Sinorhizobium meliloti
GCF_000756715.1	Jeotgalicoccus saudimassiliensis
GCF_008189685.1	Candidatus Sneabacter namystus
GCF_001664265.1	Rhizobium esperanzae
GCF_000292445.1	Mycoplasma genitalium
GCF_003149495.1	Gemmata obscuriglobus
GCF_000242335.1	Prevotella dentalis
GCF_002356255.1	Mycobacterium tuberculosis
GCF_001687605.2	Planococcus plakortidis
GCF_006842785.1	Serratia marcescens
GCF_009627195.1	Bordetella holmesii
GCF_002946715.1	Escherichia coli
GCF_900637135.1	Mycolicibacterium flavescens
GCF_002812705.1	Achromobacter spanius
GCF_000786735.1	Acinetobacter baumannii
GCF_900620225.1	Staphylococcus aureus
GCF_003431865.1	Acinetobacter baumannii
GCF_009730135.1	Staphylococcus hominis
GCF_001986735.1	Bordetella pertussis
GCF_001975425.1	Salmonella enterica
GCF_001580515.1	Staphylococcus aureus
GCF_000346065.1	Sinorhizobium meliloti
GCF_002085625.1	Mycobacterium kansasii
GCF_001886535.1	Escherichia coli
GCF_002012285.1	Acinetobacter pittii
GCF_002951915.1	Paenibacillus larvae
GCF_002189695.1	Streptococcus suis
GCF_006516995.1	Salmonella enterica
GCF_002218045.2	Vibrio rumoiensis
GCF_000935025.1	Sphingomonas hengshuiensis
GCF_000625495.2	Salmonella enterica
GCF_009498235.1	Candidatus Methylospira mobilis
GCF_000007505.1	Brucella suis
GCF_009665215.1	Vibrio navarrensis
GCF_001721125.1	Escherichia coli
GCF_004636465.1	Bordetella pertussis
GCF_002073755.2	Citrobacter braakii
GCF_001675515.1	Bacillus thuringiensis
GCF_900105795.1	Pseudomonas orientalis
GCF_000624595.2	Salmonella enterica
GCF_000400615.1	Mycobacterium tuberculosis
GCF_000959705.2	Aeromonas caviae
GCF_000328405.1	Vibrio parahaemolyticus
GCF_001986595.1	Bordetella pertussis
GCF_001752945.1	Legionella pneumophila
GCF_902386735.1	Bifidobacterium adolescentis
GCF_000014625.1	Pseudomonas aeruginosa
GCF_000182745.2	Komagataeibacter medellinensis
GCF_008931725.1	Escherichia coli
GCF_001874485.1	Escherichia coli
GCF_009665375.1	Photobacterium damselae
GCF_900622625.1	Klebsiella variicola
GCF_900234345.1	Lactobacillus sakei
GCF_004194625.2	Salmonella enterica
GCF_003429385.1	Bifidobacterium adolescentis
GCF_007993775.1	Bradymonadales bacterium
GCF_001318405.1	Enterococcus cecorum
GCF_000400565.1	Dickeya solani
GCF_001592425.1	Streptococcus agalactiae
GCF_000445015.1	Corynebacterium glutamicum
GCF_000006945.2	Salmonella enterica
GCF_005931095.1	Methylomicrobium buryatense
GCF_900474725.1	Staphylococcus aureus
GCF_003352875.1	Pseudomonas fluorescens
GCF_002111325.1	Burkholderia pseudomallei
GCF_001516165.2	Pseudomonas aeruginosa
GCF_009759845.1	Lactobacillus plantarum
GCF_008085735.1	Histophilus somni
GCF_001687585.2	Planococcus halocryophilus
GCF_003325375.1	Streptomyces globosus
GCF_001191565.1	Lactobacillus paracasei
GCF_004008855.1	Bordetella pertussis
GCF_001580365.1	Kocuria turfanensis
GCF_000695235.1	Streptomyces albulus
GCF_003860685.1	Ralstonia solanacearum
GCF_002197225.1	Klebsiella pneumoniae
GCF_001027045.1	Staphylococcus aureus
GCF_002859385.1	Pasteurella multocida
GCF_000295655.1	Riemerella anatipestifer
GCF_001941765.1	Acinetobacter baumannii
GCF_003966425.1	Escherichia coli
GCF_000344335.2	Pseudomonas syringae
GCF_001900865.1	Borreliella afzelii
GCF_003573875.1	Bacillus velezensis
GCF_001240865.2	Salmonella enterica
GCF_003313585.1	Clostridioides difficile
GCF_003350605.1	Staphylococcus aureus
GCF_001867145.1	Corynebacterium pseudotuberculosis
GCF_000155515.2	Lactobacillus paracasei
GCF_001701425.2	Klebsiella pneumoniae
GCF_002952435.1	Helicobacter pylori
GCF_003010675.1	Acinetobacter baumannii
GCF_001999085.1	Listeria monocytogenes
GCF_000494835.1	Bacillus amyloliquefaciens
GCF_001636255.1	Hafnia alvei
GCF_002813045.1	Acinetobacter bereziniae
GCF_001611015.1	Paraburkholderia caribensis
GCF_001635995.1	Bacillus cereus
GCF_008000755.1	Youhaiella tibetensis
GCF_003665555.1	Citrobacter werkmanii
GCF_000568775.1	Borrelia hermsii
GCF_000147335.1	Gloeothece verrucosa
GCF_001275345.1	Kocuria palustris
GCF_008642315.1	Streptomyces venezuelae
GCF_003546975.1	Escherichia coli
GCF_001874545.1	Polynucleobacter asymbioticus
GCF_000725325.1	Bacillus anthracis
GCF_001644625.1	Listeria monocytogenes
GCF_000160935.1	Bacillus cereus
GCF_000178115.2	Ethanoligenens harbinense
GCF_000304735.1	Borreliella afzelii
GCF_002813735.1	Legionella pneumophila
GCF_003030205.1	Campylobacter coli
GCF_001955715.1	Rhodoferax saidenbachensis
GCF_900637025.1	Streptococcus oralis
GCF_007559065.1	Pseudomonas aeruginosa
GCF_003990665.1	Thermosynechococcus vulcanus
GCF_901733115.1	Escherichia coli
GCF_000011745.1	Candidatus Blochmannia pennsylvanicus
GCF_000211035.1	Streptococcus pneumoniae
GCF_003790525.1	Escherichia coli
GCF_000525715.1	Lactobacillus helveticus
GCF_003031875.1	Salmonella enterica
GCF_003018515.1	Escherichia coli
GCF_000269985.1	Kitasatospora setae
GCF_000534935.2	Bacillus anthracis
GCF_001434355.1	Streptomyces anulatus
GCF_900637215.1	Bifidobacterium longum
GCF_002951555.1	Klebsiella pneumoniae
GCF_002355775.1	Mycobacterium ulcerans
GCF_001307565.1	Bordetella pertussis
GCF_002007585.1	Burkholderia cenocepacia
GCF_000023245.1	Actinosynnema mirum
GCF_004114895.1	Corynebacterium pelargi
GCF_001858005.1	Butyrivibrio hungatei
GCF_001870665.2	Rhodobaca barguzinensis
GCF_003076335.1	Clavibacter michiganensis
GCF_000024905.1	Thermanaerovibrio acidaminovorans
GCF_008727335.1	Campylobacter jejuni
GCF_000280925.3	Myxococcus hansupus
GCF_000443915.1	Mycobacterium tuberculosis
GCF_000231905.1	Streptococcus suis
GCF_001185245.1	Salmonella enterica
GCF_002000885.1	Lactobacillus delbrueckii
GCF_002021775.1	Dehalococcoides mccartyi
GCF_002025025.1	Streptococcus agalactiae
GCF_002812605.1	Clostridioides difficile
GCF_001701045.1	Cloacibacillus porcorum
GCF_000255615.2	Hungateiclostridium thermocellum
GCF_000740455.1	Moraxella catarrhalis
GCF_002741705.1	Bacillus velezensis
GCF_900692855.1	Streptococcus pneumoniae
GCF_003971285.1	Moraxella catarrhalis
GCF_001703535.1	Brochothrix thermosphacta
GCF_002948655.1	Escherichia coli
GCF_900660635.1	Mycoplasma gallopavonis
GCF_007855275.1	Glutamicibacter halophytocola
GCF_001454965.1	Salmonella enterica
GCF_002943835.1	Agrobacterium tumefaciens
GCF_001969325.1	Vibrio campbellii
GCF_003957395.1	Helicobacter pylori
GCF_900637055.1	Brevibacillus brevis
GCF_002859645.1	Bordetella pertussis
GCF_002192635.1	Chlamydia trachomatis
GCF_003352385.1	Haemophilus haemolyticus
GCF_000403575.2	Xanthomonas campestris
GCF_000145595.1	Staphylococcus aureus
GCF_003061385.1	Pasteurella multocida
GCF_001999925.1	Burkholderia cenocepacia
GCF_001611095.1	Klebsiella pneumoniae
GCF_001985025.1	Bordetella pertussis
GCF_003856655.1	Escherichia coli
GCF_900660645.1	Mycoplasma citelli
GCF_000204075.1	Trichormus variabilis
GCF_000196695.1	Rhodococcus hoagii
GCF_004007335.1	Bordetella pertussis
GCF_000783755.2	Citrobacter freundii
GCF_003264255.1	Acinetobacter baumannii
GCF_001576255.1	Salmonella enterica
GCF_005706035.1	Staphylococcus aureus
GCF_008693845.1	Pasteurella multocida
GCF_003044015.1	Escherichia coli
GCF_004564075.1	Microbacterium sediminis
GCF_003515565.1	Ralstonia solanacearum
GCF_001628815.1	Geobacter anodireducens
GCF_002796525.1	Klebsiella aerogenes
GCF_002205715.1	Bacillus velezensis
GCF_004358425.1	Qipengyuania sediminis
GCF_005145045.1	Agrobacterium larrymoorei
GCF_003391335.1	Candidatus Purcelliella pentastirinorum
GCF_001543325.1	Lutibacter profundi
GCF_003454775.1	Parvimonas micra
GCF_002024505.1	Plantibacter flavus
GCF_000439575.1	Alteromonas mediterranea
GCF_002945665.1	Clostridioides difficile
GCF_006385135.1	Emcibacter congregatus
GCF_000316515.1	Cyanobium gracile
GCF_001865455.1	Campylobacter coli
GCF_900478415.1	Staphylococcus auricularis
GCF_002021815.1	Pseudomonas parafulva
GCF_001704275.1	Streptomyces noursei
GCF_001606195.1	Mycobacteroides abscessus
GCF_002023665.2	Elizabethkingia anophelis
GCF_000961035.1	Geobacter sulfurreducens
GCF_002716925.2	Mycobacterium avium
GCF_002285455.1	Escherichia albertii
GCF_002000005.1	Bacillus cereus
GCF_000733255.1	Klebsiella pneumoniae
GCF_007746075.1	Planctomycetes bacterium
GCF_002191615.1	Brucella melitensis
GCF_000403555.2	Xanthomonas campestris
GCF_002752995.1	Klebsiella pneumoniae
GCF_900639705.1	Enterococcus faecium
GCF_001988615.1	Bordetella pertussis
GCF_001686425.1	Bordetella pertussis
GCF_000023185.1	Rhizobium leguminosarum
GCF_007979225.1	Mannheimia haemolytica
GCF_000317615.1	Dactylococcopsis salina
GCF_001686585.1	Bordetella pertussis
GCF_003353065.1	Candidatus Cyclonatronum proteinivorum
GCF_000192125.1	Salmonella enterica
GCF_001007085.1	Chlamydia pneumoniae
GCF_000183345.1	Escherichia coli
GCF_000968515.1	Escherichia coli
GCF_900474825.1	Streptococcus pyogenes
GCF_004379335.1	Spiroplasma gladiatoris
GCF_000520055.1	Escherichia coli
GCF_003575005.1	Xenorhabdus nematophila
GCF_003991095.1	Bordetella pertussis
GCF_001018655.2	Staphylococcus aureus
GCF_001697425.1	Neisseria meningitidis
GCF_002005345.1	Bacillus velezensis
GCF_003288455.1	Escherichia coli
GCF_003966525.1	Streptococcus pneumoniae
GCF_000788395.1	Pseudoalteromonas piratica
GCF_000221045.1	Collimonas fungivorans
GCF_900236585.1	Brucella melitensis
GCF_004000475.1	Xanthomonas citri
GCF_001542775.1	Microterricola viridarii
GCF_001302565.1	Glutamicibacter halophytocola
GCF_000445675.1	Mycobacterium tuberculosis
GCF_003627815.1	Streptomyces hundungensis
GCF_003544855.1	Arcobacter marinus
GCF_002892005.1	Phaeobacter inhibens
GCF_001482725.1	Pseudomonas syringae
GCF_001307295.1	Sphingopyxis macrogoltabida
GCF_002763715.1	Prevotella intermedia
GCF_003351405.1	Haemophilus haemolyticus
GCF_003717635.1	Salmonella enterica
GCF_000807175.1	Clostridium pasteurianum
GCF_003324815.1	Salmonella enterica
GCF_005158285.1	Enterococcus mundtii
GCF_001635875.1	Enterococcus faecium
GCF_000940785.1	Bacillus thuringiensis
GCF_006088835.1	Staphylococcus aureus
GCF_001986975.1	Bordetella pertussis
GCF_001985085.1	Bordetella pertussis
GCF_005537375.1	Salmonella enterica
GCF_003952885.1	Lactobacillus plantarum
GCF_002633965.1	Coxiella burnetii
GCF_002891985.1	Phaeobacter inhibens
GCF_002763735.1	Fusobacterium pseudoperiodonticum
GCF_001932655.1	Serratia marcescens
GCF_000510265.1	Candidatus Endolissoclinum faulkneri
GCF_000764595.1	Burkholderia thailandensis
GCF_002411865.3	Pseudomonas aeruginosa
GCF_003812925.1	Klebsiella oxytoca
GCF_000020365.1	Desulfobacterium autotrophicum
GCF_001922145.1	Paenibacillus polymyxa
GCF_003515105.1	Pseudoalteromonas donghaensis
GCF_000952035.2	Streptomyces lydicus
GCF_004028315.1	Lactobacillus plantarum
GCF_900104375.1	Flavobacteriaceae bacterium
GCF_008693425.1	Klebsiella pneumoniae
GCF_000188715.1	Streptococcus dysgalactiae
GCF_008327825.1	Leptotrichia shahii
GCF_003186265.1	Bordetella parapertussis
GCF_001593785.1	Bacillus amyloliquefaciens
GCF_002952995.1	Escherichia coli
GCF_900638825.1	Enterococcus faecium
GCF_003367885.1	Escherichia coli
GCF_003351925.1	Staphylococcus aureus
GCF_003112145.1	Escherichia coli
GCF_000473245.1	Bacillus infantis
GCF_003051965.2	Acinetobacter pittii
GCF_000014905.1	Candidatus Solibacter usitatus
GCF_000800315.1	Neisseria meningitidis
GCF_900327235.1	Orientia tsutsugamushi
GCF_000283415.2	Anoxybacillus kamchatkensis
GCF_003722275.1	Lactococcus lactis
GCF_000815275.2	Bacillus velezensis
GCF_002119845.1	Rhizobium etli
GCF_000143205.1	Lactococcus lactis
GCF_000521725.1	Bibersteinia trehalosi
GCF_000013825.1	Yersinia pestis
GCF_001267195.1	Oblitimonas alkaliphila
GCF_000981505.1	Candidatus Methylopumilus planktonicus
GCF_000223945.1	Pseudomonas aeruginosa
GCF_000931625.1	Haemophilus influenzae
GCF_006874605.1	Bacteriovorax stolpii
GCF_000236255.1	Brucella suis
GCF_000319225.1	Candidatus Kinetoplastibacterium crithidii
GCF_001647815.1	[Haemophilus] ducreyi
GCF_002079245.1	Salmonella enterica
GCF_000385965.2	Bacillus atrophaeus
GCF_000462975.1	Vibrio anguillarum
GCF_000219805.1	Weissella koreensis
GCF_001610755.1	Escherichia coli
GCF_000758705.1	Paenibacillus graminis
GCF_003296225.1	Acinetobacter baumannii
GCF_002116835.1	Mycobacterium tuberculosis
GCF_001641285.1	Dyella thiooxydans
GCF_003316915.1	Lactobacillus johnsonii
GCF_007954585.1	Pistricoccus aurantiacus
GCF_900187335.1	Klebsiella quasipneumoniae
GCF_003994595.1	Salmonella enterica
GCF_000517405.1	Candidatus Sodalis pierantonius
GCF_000169195.2	Bacillus coagulans
GCF_001442535.1	Lysobacter antibioticus
GCF_002740955.1	Klebsiella pneumoniae
GCF_000023105.1	Beutenbergia cavernae
GCF_003184425.1	Salmonella enterica
GCF_001888945.1	Lactobacillus delbrueckii
GCF_001007125.1	Chlamydia pneumoniae
GCF_003595385.1	Staphylococcus aureus
GCF_000265365.1	Alistipes finegoldii
GCF_000831225.1	Flavobacterium psychrophilum
GCF_900683725.1	Parabacteroides distasonis
GCF_001901005.1	Escherichia coli
GCF_000558965.1	Bacillus anthracis
GCF_002220775.1	Campylobacter sputorum
GCF_003073255.1	Bacillus velezensis
GCF_004526325.1	Burkholderia pseudomallei
GCF_000987825.1	Bacillus velezensis
GCF_001987195.1	Bordetella pertussis
GCF_008065435.1	Escherichia coli
GCF_004636165.1	Bordetella pertussis
GCF_000161735.1	Bacillus thuringiensis
GCF_002211585.1	Salmonella enterica
GCF_003860325.1	Pantoea agglomerans
GCF_004101945.1	Bacillus subtilis
GCF_009626755.1	Bordetella parapertussis
GCF_000012885.1	Pelobacter carbinolicus
GCF_004194555.1	Acinetobacter baumannii
GCF_000445515.1	Mycobacterium tuberculosis
GCF_000253375.1	Mycobacterium canettii
GCF_000162235.2	Fusobacterium nucleatum
GCF_000513675.1	Listeria monocytogenes
GCF_003710225.1	Lactobacillus fermentum
GCF_000626055.1	Salmonella enterica
GCF_007559105.1	Pseudomonas aeruginosa
GCF_004154005.1	Streptococcus pyogenes
GCF_002759115.1	Xanthomonas phaseoli
GCF_001541905.1	Bacillus subtilis
GCF_002234795.1	Salmonella enterica
GCF_000015065.1	Bacillus thuringiensis
GCF_902386915.1	Phoenicibacter congonensis
GCF_900205295.1	Salmonella enterica
GCF_900747785.1	Escherichia coli
GCF_001975665.1	Polaribacter reichenbachii
GCF_000238395.3	Pseudoalteromonas arctica
GCF_900105125.1	Bradyrhizobium canariense
GCF_001867025.1	Corynebacterium pseudotuberculosis
GCF_001988435.1	Bordetella pertussis
GCF_007108305.1	Escherichia coli
GCF_001719145.1	Xanthomonas citri
GCF_007966105.1	Mannheimia haemolytica
GCF_005406285.1	Bifidobacterium longum
GCF_007859615.1	Mycoplasma anserisalpingitis
GCF_003667765.1	Bacillus foraminis
GCF_000486345.2	Salmonella enterica
GCF_002952395.1	Helicobacter pylori
GCF_004636485.1	Bordetella pertussis
GCF_002191295.1	Brucella melitensis
GCF_003999755.1	Enterobacter hormaechei
GCF_009709435.1	Piscirickettsia salmonis
GCF_002310355.1	Brucella abortus
GCF_003344925.1	Flavobacterium arcticum
GCF_001969025.1	Mycobacterium tuberculosis
GCF_000161195.1	Bacillus cereus
GCF_002191535.1	Brucella melitensis
GCF_000743945.1	Basilea psittacipulmonis
GCF_001698185.1	Bordetella pseudohinzii
GCF_001432245.1	Staphylococcus equorum
GCF_001513635.1	Escherichia coli
GCF_000590555.1	Corynebacterium argentoratense
GCF_002208845.2	Citrobacter braakii
GCF_001664185.1	Rhizobium phaseoli
GCF_002984195.1	Providencia rettgeri
GCF_002848685.1	Enterococcus faecium
GCF_004355165.1	Enterobacter cloacae
GCF_008705255.1	Streptomyces venezuelae
GCF_000445855.1	Mycobacterium tuberculosis
GCF_007833835.1	Pectobacterium carotovorum
GCF_008032975.1	Helicobacter pylori
GCF_001307155.1	Pseudomonas fluorescens
GCF_000241915.1	Corynebacterium diphtheriae
GCF_900094615.1	Lactobacillus salivarius
GCF_001753225.1	Delftia tsuruhatensis
GCF_000439495.1	Alteromonas mediterranea
GCF_005311205.1	Treponema pallidum
GCF_000743015.1	Streptococcus pyogenes
GCF_000196095.1	Vibrio parahaemolyticus
GCF_009664615.1	Salmonella enterica
GCF_000091565.1	Erwinia amylovora
GCF_001648175.1	Halotalea alkalilenta
GCF_002355615.1	Moraxella osloensis
GCF_900233005.1	Vibrio tapetis
GCF_000835165.1	Corynebacterium marinum
GCF_001604995.1	Bacillus subtilis
GCF_004120035.1	Klebsiella pneumoniae
GCF_009740005.1	Bacillus albus
GCF_004798725.1	Cupriavidus necator
GCF_006365195.1	Candidatus Methylopumilus universalis
GCF_004010855.1	Streptococcus pyogenes
GCF_001455345.1	Bacillus thuringiensis
GCF_003854875.1	Methylomonas clara
GCF_004353865.1	Hydrogenophaga pseudoflava
GCF_001687545.1	Altererythrobacter namhicola
GCF_000624575.2	Salmonella enterica
GCF_001955695.1	Rhodoferax koreense
GCF_001456355.1	Mycobacteroides saopaulense
GCF_002844125.1	Bacillus velezensis
GCF_000258125.2	Bacillus licheniformis
GCF_003390475.1	Listeria monocytogenes
GCF_003288415.1	Escherichia coli
GCF_003345375.1	Lactobacillus plantarum
GCF_001698145.1	Leuconostoc lactis
GCF_002759215.1	Xanthomonas citri
GCF_000196755.1	Helicobacter pylori
GCF_002237325.1	Escherichia coli
GCF_002211625.1	Fusobacterium nucleatum
GCF_003925895.1	Escherichia coli
GCF_003112185.1	Escherichia coli
GCF_003932995.1	Brevibacterium aurantiacum
GCF_002752815.1	Klebsiella pneumoniae
GCF_002441975.1	Acidovorax citrulli
GCF_003855235.1	Neisseria gonorrhoeae
GCF_002220285.1	Bacillus cereus
GCF_001956675.1	Pasteurella multocida
GCF_006741355.1	Enterococcus faecium
GCF_000952935.1	Chlamydia abortus
GCF_003354965.1	Staphylococcus aureus
GCF_900215775.1	Lactobacillus sakei
GCF_000204645.1	Alicycliphilus denitrificans
GCF_002277915.1	Bacillus anthracis
GCF_002759335.1	Xanthomonas citri
GCF_001104165.2	Salmonella enterica
GCF_002285675.1	Mycobacterium intracellulare
GCF_007753455.1	Planctomycetes bacterium
GCF_001278705.1	Bacillus gobiensis
GCF_008694165.1	Staphylococcus aureus
GCF_000782835.1	Bacillus subtilis
GCF_900692755.1	Streptococcus pneumoniae
GCF_005843985.1	Caminibacter mediatlanticus
GCF_001855255.1	Mycobacterium tuberculosis
GCF_001890305.1	Escherichia coli
GCF_002082155.1	Paenibacillus larvae
GCF_004000605.1	Glycocaulis alkaliphilus
GCF_001515665.1	Staphylococcus aureus
GCF_003667945.1	Agrobacterium fabrum
GCF_002982095.1	Salmonella enterica
GCF_001606135.1	Burkholderia cenocepacia
GCF_902386715.1	Propionibacterium freudenreichii
GCF_003666425.1	Agrobacterium tumefaciens
GCF_900536895.1	Rickettsia typhi
GCF_002504265.1	Sphingomonas melonis
GCF_001867125.1	Corynebacterium pseudotuberculosis
GCF_002741865.1	Salmonella enterica
GCF_002082585.1	Kitasatospora albolonga
GCF_003031305.1	Pectobacterium carotovorum
GCF_000487515.2	Salmonella enterica
GCF_005931035.1	Staphylococcus aureus
GCF_900095135.1	Proteiniphilum saccharofermentans
GCF_000422125.1	Mycobacterium tuberculosis
GCF_001042715.1	Clostridium aceticum
GCF_001712955.1	Treponema pallidum
GCF_000018245.1	Rickettsia bellii
GCF_005221905.1	Escherichia coli
GCF_002111105.1	Burkholderia pseudomallei
GCF_000183745.1	Oceanithermus profundus
GCF_006400955.1	Myxococcus xanthus
GCF_003864035.1	Salmonella enterica
GCF_002156785.1	Klebsiella pneumoniae
GCF_000283715.1	Shigella sonnei
GCF_001975265.1	Salmonella enterica
GCF_900095195.1	Polynucleobacter necessarius
GCF_001652505.2	Lelliottia amnigena
GCF_000724815.2	Bacteroides fragilis
GCF_000011365.1	Bradyrhizobium diazoefficiens
GCF_005222325.1	Escherichia coli
GCF_007978045.1	Mannheimia haemolytica
GCF_000026245.1	Escherichia coli
GCF_001998585.1	Mycobacterium tuberculosis
GCF_002895225.1	Lactococcus lactis
GCF_000319045.1	Chlamydia trachomatis
GCF_001901025.1	Escherichia coli
GCF_009720605.1	Escherichia coli
GCF_008704855.1	Streptomyces platensis
GCF_002754155.1	Porphyromonas gingivalis
GCF_000626155.2	Salmonella enterica
GCF_900638605.1	Neisseria meningitidis
GCF_001447075.1	Streptomyces hygroscopicus
